date,total_cases,daily_cases,total_deaths,daily_deaths,recovered,hospital_stable,hospital_icu,icu_variation
02-03-20,2,2,0,0,0,0,0,0
03-03-20,4,2,0,0,0,0,0,0
04-03-20,6,2,0,0,0,0,0,0
05-03-20,9,3,0,0,0,9,0,0
06-03-20,13,4,0,0,0,13,0,0
07-03-20,21,8,0,0,0,21,0,0
08-03-20,30,9,0,0,0,30,0,0
09-03-20,39,9,0,0,0,38,0,0
10-03-20,41,2,0,0,0,40,0,0
11-03-20,59,18,0,0,0,57,0,0
12-03-20,78,19,0,0,1,107,0,0
13-03-20,112,34,0,0,1,107,0,0
14-03-20,169,57,0,0,1,114,10,10
15-03-20,245,76,0,0,2,139,9,-1
16-03-20,331,86,1,1,3,139,18,9
17-03-20,448,117,1,0,3,206,17,-1
18-03-20,642,194,2,1,3,89,20,3
19-03-20,785,143,3,2,3,89,30,10
20-03-20,1020,235,6,2,5,126,26,6
21-03-20,1280,260,12,6,5,156,35,9
22-03-20,1600,320,14,2,5,169,41,6
23-03-20,2060,460,23,9,14,201,47,6
24-03-20,2362,302,33,10,22,203,48,1
25-03-20,2995,633,43,10,22,276,61,27
26-03-20,3544,549,60,17,43,191,61,0
27-03-20,4268,724,76,16,43,354,71,10
28-03-20,5170,902,100,24,43,418,89,18
29-03-20,5962,792,119,19,43,486,136,47
30-03-20,6408,446,140,21,43,571,164,28
31-03-20,7443,1035,160,20,43,627,188,24
01-04-20,8251,808,187,27,43,726,230,42
02-04-20,9034,783,209,22,68,1042,240,10
03-04-20,9886,852,246,37,68,1058,245,5
04-04-20,10524,638,266,20,75,1075,251,6
05-04-20,11278,754,295,29,75,1084,267,16
06-04-20,11730,452,311,16,140,1099,270,3
07-04-20,12442,712,345,34,184,1180,271,1
08-04-20,13141,699,380,35,196,1211,245,-26
09-04-20,13956,815,409,29,205,1173,241,-4
10-04-20,15472,1516,435,26,233,1179,226,-15
11-04-20,15987,515,470,35,266,1175,233,7
12-04-20,16585,598,504,34,277,1177,228,-5
13-04-20,16934,349,535,31,277,1187,188,-40
14-04-20,17448,514,567,32,347,1227,218,30
15-04-20,18091,643,599,32,383,1200,208,-10
16-04-20,18841,750,629,30,493,1302,229,21
17-04-20,19022,181,657,28,519,1284,222,-7
18-04-20,19685,663,687,30,610,1253,228,6
19-04-20,20206,521,714,27,610,1243,224,-4
20-04-20,20863,657,735,21,610,1208,215,-9
21-04-20,21379,516,762,27,917,1172,213,-2
22-04-20,21982,603,785,23,1143,1146,207,-6
23-04-20,22353,371,820,35,1201,1095,204,-3
24-04-20,22797,444,854,34,1228,1068,188,-16
25-04-20,23271,474,880,26,1277,1040,186,-2
26-04-20,23683,412,903,23,1329,1005,182,-4
27-04-20,23846,163,928,25,1357,995,176,-6
28-04-20,24141,295,948,20,1389,936,172,-4
29-04-20,24324,183,973,25,1470,980,169,-3
30-04-20,24692,368,989,16,1519,968,172,3
01-05-20,24987,295,1007,18,1647,892,154,-18
02-05-20,25190,203,1023,16,1671,855,150,-4
03-05-20,25282,92,1043,20,1689,856,144,-6
04-05-20,25524,242,1063,20,1712,813,143,-1
05-05-20,25702,178,1074,11,1743,818,134,-9
06-05-20,26182,480,1089,15,2076,838,136,2
07-05-20,26715,533,1105,16,2258,874,135,-1
08-05-20,27268,553,1114,9,2422,842,127,-8
09-05-20,27406,138,1126,12,2499,815,120,-7
10-05-20,27581,175,1135,9,2549,797,112,-8
11-05-20,27679,98,1144,9,2549,805,112,0
12-05-20,27913,234,1163,19,3013,709,113,1
13-05-20,28132,219,1175,12,3182,692,103,-10
14-05-20,28319,187,1184,9,3198,680,108,5
15-05-20,28583,264,1190,6,3328,673,112,4
